epoch,train_loss,val_loss,train_dice,val_dice_0_5,val_dice_0_1,val_soft_dice,prob_mean,lr,proj_val_soft_dice,val_soft_dice_plot,proj_train_dice,train_dice_plot,proj_train_loss,train_loss_plot,proj_val_loss,val_loss_plot
1,0.5923,0.5507,0.0172,0.25,0.0034,0.0156,0.1671,9.5e-05,0.7758,0.0156,0.7666,0.0172,0.1225,0.5923,0.1145,0.5507
2,0.5076,0.501,0.0591,0.2875,0.1456,0.0455,0.0603,9.02e-05,0.7758,0.0455,0.7666,0.0591,0.1225,0.5076,0.1145,0.501
3,0.4096,0.3857,0.2069,0.6073,0.5465,0.2382,0.0086,8.57e-05,0.7758,0.2382,0.7666,0.2069,0.1225,0.4096,0.1145,0.3857
4,0.248,0.282,0.5175,0.555,0.5015,0.4456,0.0039,8.15e-05,0.7758,0.4456,0.7666,0.5175,0.1225,0.248,0.1145,0.282
5,0.1857,0.1992,0.6422,0.6672,0.6349,0.6088,0.0026,7.74e-05,0.7758,0.6088,0.7666,0.6422,0.1225,0.1857,0.1145,0.1992
6,0.1629,0.1755,0.6879,0.692,0.6758,0.6557,0.0021,7.35e-05,0.7758,0.6557,0.7666,0.6879,0.1225,0.1629,0.1145,0.1755
7,0.1524,0.2356,0.7087,0.5595,0.5369,0.541,0.0026,6.98e-05,0.7758,0.541,0.7666,0.7087,0.1225,0.1524,0.1145,0.2356
8,0.1475,0.1725,0.7187,0.6784,0.6613,0.6623,0.002,6.63e-05,0.7758,0.6623,0.7666,0.7187,0.1225,0.1475,0.1145,0.1725
9,0.1438,0.1606,0.7261,0.6978,0.6835,0.6858,0.0019,6.3e-05,0.7758,0.6858,0.7666,0.7261,0.1225,0.1438,0.1145,0.1606
10,0.1394,0.1416,0.7343,0.7329,0.7324,0.7232,0.0015,5.99e-05,0.7758,0.7232,0.7666,0.7343,0.1225,0.1394,0.1145,0.1416
11,0.1362,0.1599,0.7405,0.6959,0.6702,0.6867,0.0022,5.69e-05,0.7758,0.6867,0.7666,0.7405,0.1225,0.1362,0.1145,0.1599
12,0.138,0.1482,0.7373,0.7173,0.7006,0.7098,0.0019,5.4e-05,0.7758,0.7098,0.7666,0.7373,0.1225,0.138,0.1145,0.1482
13,0.1348,0.1294,0.7435,0.7524,0.7477,0.7468,0.0016,5.13e-05,0.7758,0.7468,0.7666,0.7435,0.1225,0.1348,0.1145,0.1294
14,0.1319,0.1785,0.7491,0.6576,0.6442,0.6513,0.0019,4.88e-05,0.7758,0.6513,0.7666,0.7491,0.1225,0.1319,0.1145,0.1785
15,0.1333,0.1292,0.7464,0.7523,0.7459,0.7469,0.0017,4.63e-05,0.7758,0.7469,0.7666,0.7464,0.1225,0.1333,0.1145,0.1292
16,0.1285,0.1435,0.7554,0.7243,0.7142,0.7191,0.0017,4.4e-05,0.7758,0.7191,0.7666,0.7554,0.1225,0.1285,0.1145,0.1435
17,0.1288,0.1232,0.7547,0.7635,0.7613,0.759,0.0016,4.18e-05,0.7758,0.759,0.7666,0.7547,0.1225,0.1288,0.1145,0.1232
18,0.1283,0.1223,0.7558,0.7654,0.76,0.7606,0.0016,3.97e-05,0.7758,0.7606,0.7666,0.7558,0.1225,0.1283,0.1145,0.1223
19,0.1272,0.1237,0.7579,0.7617,0.7632,0.7583,0.0015,3.77e-05,0.7758,0.7583,0.7666,0.7579,0.1225,0.1272,0.1145,0.1237
20,0.1253,0.1187,0.7614,0.7719,0.7672,0.7675,0.0016,3.58e-05,0.7758,0.7675,0.7666,0.7614,0.1225,0.1253,0.1145,0.1187
21,0.1263,0.1195,0.7596,0.7695,0.7709,0.7665,0.0015,3.41e-05,0.7758,0.7665,0.7666,0.7596,0.1225,0.1263,0.1145,0.1195
22,0.1236,0.1234,0.7647,0.7621,0.7587,0.7587,0.0016,3.24e-05,0.7758,0.7587,0.7666,0.7647,0.1225,0.1236,0.1145,0.1234
23,0.1238,0.1175,0.7643,0.7736,0.7707,0.7699,0.0016,3.07e-05,0.7758,0.7699,0.7666,0.7643,0.1225,0.1238,0.1145,0.1175
