variant_id,strategy,kind,primary_variant,strength,n_cases,dice_original_mean,dice_corrected_mean,dice_corrected_median,delta_dice_mean,delta_dice_median,cldice_original_mean,cldice_corrected_mean,cldice_corrected_median,delta_cldice_mean,delta_cldice_median,hd95_original_mean,hd95_corrected_mean,hd95_corrected_median,delta_hd95_mean,delta_hd95_median,components_original_mean,components_corrected_mean,components_corrected_median,delta_components_mean,delta_components_median,assd_original_mean,assd_corrected_mean,assd_corrected_median,delta_assd_mean,delta_assd_median,centerline_mean_mm_original_mean,centerline_mean_mm_corrected_mean,centerline_mean_mm_corrected_median,delta_centerline_mean_mm_mean,delta_centerline_mean_mm_median,surface_deviation_mean_mm,surface_deviation_p95_mm,surface_deviation_hausdorff_mm,chamfer_mm,centroid_displacement_mm,mesh_volume_change_relative,bbox_extent_change_mm,mesh_integrity_rate_original,mesh_integrity_count_original,mesh_integrity_rate_corrected,mesh_integrity_count_corrected
s1_absolute_volume__mm3_0.216,s1_absolute_volume,absolute_volume_filter,False,0.216,250,0.7877542486781849,0.7877542486781849,0.7934313824649584,0.0,0.0,0.8695228014433181,0.8695228014433181,0.8753005638417277,0.0,0.0,7.564303991174824,7.564303991174824,5.707867725212655,0.0,0.0,11.092,11.092,10.0,0.0,0.0,1.40849840195984,1.40849840195984,1.2714658679864774,0.0,0.0,1.9892366641515344,1.9892366641515344,1.7997702860200646,0.0,0.0,,,,,,,,0.912,228,0.0,0
s1_absolute_volume__mm3_1,s1_absolute_volume,absolute_volume_filter,False,1.0,250,0.7877542486781849,0.7877785742654371,0.7934983605105848,2.4325587252032045e-05,1.096304787295832e-05,0.8695228014433181,0.8706378217579533,0.876205224721315,0.001115020314635386,0.0005149153944875584,7.564303991174824,7.6355365197420015,5.786190686518324,0.0712325285671773,0.0,11.092,9.024,8.0,-2.068,-2.0,1.40849840195984,1.4133916855556403,1.2713052642964844,0.004893283595800434,0.0,1.9892366641515344,1.9640350442656354,1.7882019437632584,-0.02520161988589891,-0.0021854345662997154,,,,,,,,0.912,228,0.0,0
s1_absolute_volume__mm3_2,s1_absolute_volume,absolute_volume_filter,False,2.0,250,0.7877542486781849,0.7878247009565384,0.7935268753859419,7.045227835351841e-05,3.782529285745184e-05,0.8695228014433181,0.871200089246827,0.8772774816702466,0.0016772878035088948,0.0009371348732860052,7.564303991174824,7.606451894609425,5.707867725212655,0.04214790343460117,0.0,11.092,8.332,8.0,-2.76,-2.0,1.40849840195984,1.413111936853858,1.274972580125553,0.0046135348940179845,-0.0003445089283254932,1.9892366641515344,1.9521033593618762,1.7782517527358332,-0.037133304789658324,-0.010122264785902724,,,,,,,,0.912,228,0.0,0
s1_absolute_volume__mm3_5,s1_absolute_volume,absolute_volume_filter,True,5.0,250,0.7877542486781849,0.7879406774311163,0.7937086732371443,0.00018642875293136907,0.00011873868307821223,0.8695228014433181,0.8718167656951342,0.8781393973732496,0.002293964251816212,0.0015869285375255116,7.564303991174824,7.616435723240164,5.801703373286654,0.05213173206533956,0.0,11.092,7.356,7.0,-3.736,-3.0,1.40849840195984,1.409178350585073,1.2629882554240073,0.000679948625233131,-0.001588324795317897,1.9892366641515344,1.9361358249813856,1.7743886319517457,-0.0531008391701486,-0.019406471283128446,0.013469941873638801,1.3330778394753395e-14,18.606008067036818,0.026911996789977185,0.11855857524058913,-0.009276952939952253,5.232108658279291,0.912,228,0.932,233
s1_absolute_volume__mm3_10,s1_absolute_volume,absolute_volume_filter,False,10.0,250,0.7877542486781849,0.7881754988973058,0.7937518749629453,0.0004212502191207417,0.00033457901128636225,0.8695228014433181,0.8726439953300701,0.8791804031256061,0.0031211938867520338,0.0022880185467691327,7.564303991174824,7.616398823078465,5.942719964176693,0.05209483190364043,0.0,11.092,6.444,6.0,-4.648,-4.0,1.40849840195984,1.4013109169774085,1.21236485927853,-0.007187484982431504,-0.004204294963954247,1.9892366641515344,1.9104261754931184,1.7902180837044441,-0.07881048865841589,-0.030957497045125848,,,,,,,,0.912,228,0.0,0
s1_absolute_volume__mm3_27,s1_absolute_volume,absolute_volume_filter,False,27.0,250,0.7877542486781849,0.7891316345999362,0.794712234673594,0.0013773859217512015,0.001102825163057819,0.8695228014433181,0.875306334438978,0.8806016890313535,0.005783532995660005,0.004110648421523144,7.564303991174824,7.509260927473881,5.984811405134796,-0.05504306370094399,-0.060477845686514264,11.092,4.968,5.0,-6.124,-5.0,1.40849840195984,1.3655133471392398,1.1917139139550992,-0.042985054820600124,-0.018224856186530747,1.9892366641515344,1.8498765747101722,1.7559454475024892,-0.13936008944136222,-0.06572879872366422,,,,,,,,0.912,228,0.0,0
s1_absolute_volume__mm3_50,s1_absolute_volume,absolute_volume_filter,False,50.0,250,0.7877542486781849,0.7901185081718488,0.7966994921815647,0.0023642594936638447,0.0019060636645367723,0.8695228014433181,0.8774885080460323,0.8830986248638357,0.007965706602714255,0.0072743697914832706,7.564303991174824,7.407201596389934,5.847995838168078,-0.15710239478488985,-0.16076952184708015,11.092,4.048,4.0,-7.044,-6.0,1.40849840195984,1.3311511804996286,1.1744829178052516,-0.07734722146021153,-0.050283066755825834,1.9892366641515344,1.7913478009022166,1.6046045819615375,-0.19788886324931798,-0.12222899130895026,,,,,,,,0.912,228,0.0,0
s2_relative_volume__frac_0.001,s2_relative_volume,relative_volume_filter,False,0.001,250,0.7877542486781849,0.7879034592862784,0.7937086732371443,0.0001492106080933766,9.418090719282013e-05,0.8695228014433181,0.8716662228198732,0.8779614270518914,0.0021434213765551408,0.0013682138537011168,7.564303991174824,7.622697709039585,5.754913061228414,0.05839371786476015,0.0,11.092,7.676,7.0,-3.416,-3.0,1.40849840195984,1.4108554853168784,1.2637363836913145,0.0023570833570386654,-0.0010647602243644694,1.9892366641515344,1.9394860662301052,1.7665737444794523,-0.04975059792142929,-0.01725898708899165,,,,,,,,0.912,228,0.0,0
s2_relative_volume__frac_0.005,s2_relative_volume,relative_volume_filter,False,0.005,250,0.7877542486781849,0.788672769534039,0.794957140546592,0.0009185208558540583,0.0006065409544688816,0.8695228014433181,0.8741042437482738,0.8808913552096895,0.00458144230495584,0.003459973900783342,7.564303991174824,7.650110255825519,5.984811405134796,0.08580626465069546,0.0,11.092,5.42,5.0,-5.672,-5.0,1.40849840195984,1.3882847213039287,1.193457754029858,-0.02021368065591161,-0.010834982796599946,1.9892366641515344,1.884395591534506,1.7578086220495805,-0.10484107261702819,-0.055755410549092055,,,,,,,,0.912,228,0.0,0
s2_relative_volume__frac_0.01,s2_relative_volume,relative_volume_filter,True,0.01,250,0.7877542486781849,0.7895652908797658,0.7955707405877432,0.0018110422015809027,0.0014290338799585744,0.8695228014433181,0.8762615783364162,0.8816306145167396,0.00673877689309812,0.005606090687742538,7.564303991174824,7.4765932293574116,5.955562913390154,-0.08771076181741343,-0.08916433608507823,11.092,4.356,4.0,-6.736,-6.0,1.40849840195984,1.3494875791332372,1.1958171609243533,-0.05901082282660287,-0.03157805655203327,1.9892366641515344,1.8221178882006384,1.714511631569469,-0.16711877595089594,-0.08737921332560417,0.14474438480524224,1.5677427588763284e-14,33.17706645320621,0.2878345171579945,0.6393890860240691,-0.015341262955975411,13.348204065230082,0.912,228,0.956,239
s2_relative_volume__frac_0.05,s2_relative_volume,relative_volume_filter,False,0.05,250,0.7877542486781849,0.7942337518087544,0.7991157271037098,0.006479503130569473,0.004725769421776271,0.8695228014433181,0.8847750691602739,0.8899934077540894,0.015252267716955838,0.012333304904208864,7.564303991174824,6.834724729106782,5.433130289636482,-0.7295792620680425,-0.38204847015022647,11.092,2.6,2.0,-8.492,-7.0,1.40849840195984,1.2116224632667294,0.9857547041644255,-0.19687593869311062,-0.13197577394285573,1.9892366641515344,1.6190324827846274,1.3843641017355521,-0.37020418136690675,-0.2448395402088434,,,,,,,,0.912,228,0.0,0
