strategy,benefit_metric,covariate,n,spearman_rho,p_value,analysis,family
s1_absolute_volume__mm3_5,benefit_delta_components,dice_original,250,0.18096966449849863,0.00409456816090851,exploratory,s1_absolute_volume__mm3_5|covariates|benefit_delta_components
s1_absolute_volume__mm3_5,benefit_delta_components,cldice_original,250,0.30206154547202385,1.1375116809704905e-06,exploratory,s1_absolute_volume__mm3_5|covariates|benefit_delta_components
s1_absolute_volume__mm3_5,benefit_delta_components,hd95_original,250,-0.1995814023227412,0.0015148917598376036,exploratory,s1_absolute_volume__mm3_5|covariates|benefit_delta_components
s1_absolute_volume__mm3_5,benefit_delta_components,components_original,250,-0.7929735225147253,2.7187516761734507e-55,exploratory,s1_absolute_volume__mm3_5|covariates|benefit_delta_components
s2_relative_volume__frac_0.01,benefit_delta_components,dice_original,250,0.22562697691590813,0.0003230505102460725,exploratory,s2_relative_volume__frac_0.01|covariates|benefit_delta_components
s2_relative_volume__frac_0.01,benefit_delta_components,cldice_original,250,0.3506533929649361,1.2087088869889957e-08,exploratory,s2_relative_volume__frac_0.01|covariates|benefit_delta_components
s2_relative_volume__frac_0.01,benefit_delta_components,hd95_original,250,-0.2207765489071094,0.0004368093981478905,exploratory,s2_relative_volume__frac_0.01|covariates|benefit_delta_components
s2_relative_volume__frac_0.01,benefit_delta_components,components_original,250,-0.9070209142691583,3.891667295652675e-95,exploratory,s2_relative_volume__frac_0.01|covariates|benefit_delta_components
s3_gap_bridge__gap_1.2mm,benefit_delta_components,dice_original,250,0.19121024188375085,0.0023957142387836514,exploratory,s3_gap_bridge__gap_1.2mm|covariates|benefit_delta_components
s3_gap_bridge__gap_1.2mm,benefit_delta_components,cldice_original,250,0.31496435377037324,3.6747242923106965e-07,exploratory,s3_gap_bridge__gap_1.2mm|covariates|benefit_delta_components
s3_gap_bridge__gap_1.2mm,benefit_delta_components,hd95_original,250,-0.20527459942201262,0.0010975754905305879,exploratory,s3_gap_bridge__gap_1.2mm|covariates|benefit_delta_components
s3_gap_bridge__gap_1.2mm,benefit_delta_components,components_original,250,-0.801203250091998,3.1052618901219154e-57,exploratory,s3_gap_bridge__gap_1.2mm|covariates|benefit_delta_components
s3c_closing__r_0.6mm,benefit_delta_components,dice_original,250,0.19817160921909047,0.001638560152852655,exploratory,s3c_closing__r_0.6mm|covariates|benefit_delta_components
s3c_closing__r_0.6mm,benefit_delta_components,cldice_original,250,0.32039703409426395,2.2467369033745489e-07,exploratory,s3c_closing__r_0.6mm|covariates|benefit_delta_components
s3c_closing__r_0.6mm,benefit_delta_components,hd95_original,250,-0.21211745949232486,0.0007366647879538144,exploratory,s3c_closing__r_0.6mm|covariates|benefit_delta_components
s3c_closing__r_0.6mm,benefit_delta_components,components_original,250,-0.8050074170556334,3.657432803151424e-58,exploratory,s3c_closing__r_0.6mm|covariates|benefit_delta_components
