case_id,strategy,components_original,components_corrected
1000,s1_absolute_volume__mm3_5,9,7
751,s1_absolute_volume__mm3_5,9,7
752,s1_absolute_volume__mm3_5,5,5
753,s1_absolute_volume__mm3_5,5,5
754,s1_absolute_volume__mm3_5,8,5
755,s1_absolute_volume__mm3_5,10,7
756,s1_absolute_volume__mm3_5,8,4
757,s1_absolute_volume__mm3_5,7,3
758,s1_absolute_volume__mm3_5,5,4
759,s1_absolute_volume__mm3_5,9,4
760,s1_absolute_volume__mm3_5,10,8
761,s1_absolute_volume__mm3_5,7,4
762,s1_absolute_volume__mm3_5,12,9
763,s1_absolute_volume__mm3_5,11,8
764,s1_absolute_volume__mm3_5,5,4
765,s1_absolute_volume__mm3_5,3,3
766,s1_absolute_volume__mm3_5,9,8
767,s1_absolute_volume__mm3_5,14,10
768,s1_absolute_volume__mm3_5,16,13
769,s1_absolute_volume__mm3_5,7,7
770,s1_absolute_volume__mm3_5,9,8
771,s1_absolute_volume__mm3_5,8,6
772,s1_absolute_volume__mm3_5,6,6
773,s1_absolute_volume__mm3_5,4,4
774,s1_absolute_volume__mm3_5,14,8
775,s1_absolute_volume__mm3_5,14,9
776,s1_absolute_volume__mm3_5,9,8
777,s1_absolute_volume__mm3_5,9,8
778,s1_absolute_volume__mm3_5,12,5
779,s1_absolute_volume__mm3_5,11,8
780,s1_absolute_volume__mm3_5,11,9
781,s1_absolute_volume__mm3_5,7,3
782,s1_absolute_volume__mm3_5,15,12
783,s1_absolute_volume__mm3_5,6,6
784,s1_absolute_volume__mm3_5,9,4
785,s1_absolute_volume__mm3_5,3,3
786,s1_absolute_volume__mm3_5,5,5
787,s1_absolute_volume__mm3_5,6,6
788,s1_absolute_volume__mm3_5,13,8
789,s1_absolute_volume__mm3_5,8,7
790,s1_absolute_volume__mm3_5,5,4
791,s1_absolute_volume__mm3_5,8,7
792,s1_absolute_volume__mm3_5,11,11
793,s1_absolute_volume__mm3_5,9,9
794,s1_absolute_volume__mm3_5,5,3
795,s1_absolute_volume__mm3_5,6,4
796,s1_absolute_volume__mm3_5,12,11
797,s1_absolute_volume__mm3_5,12,7
798,s1_absolute_volume__mm3_5,44,25
799,s1_absolute_volume__mm3_5,10,5
800,s1_absolute_volume__mm3_5,6,5
801,s1_absolute_volume__mm3_5,13,6
802,s1_absolute_volume__mm3_5,7,5
803,s1_absolute_volume__mm3_5,30,16
804,s1_absolute_volume__mm3_5,9,8
805,s1_absolute_volume__mm3_5,11,6
806,s1_absolute_volume__mm3_5,15,10
807,s1_absolute_volume__mm3_5,6,4
808,s1_absolute_volume__mm3_5,31,15
809,s1_absolute_volume__mm3_5,10,7
810,s1_absolute_volume__mm3_5,17,11
811,s1_absolute_volume__mm3_5,6,4
812,s1_absolute_volume__mm3_5,13,10
813,s1_absolute_volume__mm3_5,9,2
814,s1_absolute_volume__mm3_5,8,5
815,s1_absolute_volume__mm3_5,14,11
816,s1_absolute_volume__mm3_5,6,5
817,s1_absolute_volume__mm3_5,14,9
818,s1_absolute_volume__mm3_5,10,7
819,s1_absolute_volume__mm3_5,9,5
820,s1_absolute_volume__mm3_5,13,7
821,s1_absolute_volume__mm3_5,6,4
822,s1_absolute_volume__mm3_5,20,12
823,s1_absolute_volume__mm3_5,9,8
824,s1_absolute_volume__mm3_5,7,3
825,s1_absolute_volume__mm3_5,8,5
826,s1_absolute_volume__mm3_5,8,8
827,s1_absolute_volume__mm3_5,10,7
828,s1_absolute_volume__mm3_5,12,8
829,s1_absolute_volume__mm3_5,13,7
830,s1_absolute_volume__mm3_5,9,4
831,s1_absolute_volume__mm3_5,8,7
832,s1_absolute_volume__mm3_5,4,3
833,s1_absolute_volume__mm3_5,6,5
834,s1_absolute_volume__mm3_5,7,6
835,s1_absolute_volume__mm3_5,9,8
836,s1_absolute_volume__mm3_5,10,6
837,s1_absolute_volume__mm3_5,5,4
838,s1_absolute_volume__mm3_5,9,8
839,s1_absolute_volume__mm3_5,5,3
840,s1_absolute_volume__mm3_5,13,8
841,s1_absolute_volume__mm3_5,6,5
842,s1_absolute_volume__mm3_5,13,9
843,s1_absolute_volume__mm3_5,18,7
844,s1_absolute_volume__mm3_5,12,8
845,s1_absolute_volume__mm3_5,10,6
846,s1_absolute_volume__mm3_5,5,4
847,s1_absolute_volume__mm3_5,11,5
848,s1_absolute_volume__mm3_5,4,3
849,s1_absolute_volume__mm3_5,13,12
850,s1_absolute_volume__mm3_5,19,12
851,s1_absolute_volume__mm3_5,4,2
852,s1_absolute_volume__mm3_5,38,20
853,s1_absolute_volume__mm3_5,6,4
854,s1_absolute_volume__mm3_5,4,4
855,s1_absolute_volume__mm3_5,28,18
856,s1_absolute_volume__mm3_5,25,12
857,s1_absolute_volume__mm3_5,10,7
858,s1_absolute_volume__mm3_5,10,6
859,s1_absolute_volume__mm3_5,7,6
860,s1_absolute_volume__mm3_5,11,6
861,s1_absolute_volume__mm3_5,14,10
862,s1_absolute_volume__mm3_5,5,5
863,s1_absolute_volume__mm3_5,11,8
864,s1_absolute_volume__mm3_5,8,7
865,s1_absolute_volume__mm3_5,8,6
866,s1_absolute_volume__mm3_5,9,7
867,s1_absolute_volume__mm3_5,21,17
868,s1_absolute_volume__mm3_5,14,11
869,s1_absolute_volume__mm3_5,16,10
870,s1_absolute_volume__mm3_5,9,7
