case_id,strategy,components_original,components_corrected
1000,s2_relative_volume__frac_0.01,9,2
751,s2_relative_volume__frac_0.01,9,3
752,s2_relative_volume__frac_0.01,5,4
753,s2_relative_volume__frac_0.01,5,3
754,s2_relative_volume__frac_0.01,8,2
755,s2_relative_volume__frac_0.01,10,3
756,s2_relative_volume__frac_0.01,8,2
757,s2_relative_volume__frac_0.01,7,2
758,s2_relative_volume__frac_0.01,5,3
759,s2_relative_volume__frac_0.01,9,3
760,s2_relative_volume__frac_0.01,10,5
761,s2_relative_volume__frac_0.01,7,3
762,s2_relative_volume__frac_0.01,12,6
763,s2_relative_volume__frac_0.01,11,3
764,s2_relative_volume__frac_0.01,5,3
765,s2_relative_volume__frac_0.01,3,2
766,s2_relative_volume__frac_0.01,9,4
767,s2_relative_volume__frac_0.01,14,6
768,s2_relative_volume__frac_0.01,16,6
769,s2_relative_volume__frac_0.01,7,4
770,s2_relative_volume__frac_0.01,9,6
771,s2_relative_volume__frac_0.01,8,4
772,s2_relative_volume__frac_0.01,6,6
773,s2_relative_volume__frac_0.01,4,3
774,s2_relative_volume__frac_0.01,14,7
775,s2_relative_volume__frac_0.01,14,6
776,s2_relative_volume__frac_0.01,9,5
777,s2_relative_volume__frac_0.01,9,4
778,s2_relative_volume__frac_0.01,12,5
779,s2_relative_volume__frac_0.01,11,3
780,s2_relative_volume__frac_0.01,11,5
781,s2_relative_volume__frac_0.01,7,3
782,s2_relative_volume__frac_0.01,15,9
783,s2_relative_volume__frac_0.01,6,5
784,s2_relative_volume__frac_0.01,9,4
785,s2_relative_volume__frac_0.01,3,2
786,s2_relative_volume__frac_0.01,5,4
787,s2_relative_volume__frac_0.01,6,5
788,s2_relative_volume__frac_0.01,13,6
789,s2_relative_volume__frac_0.01,8,3
790,s2_relative_volume__frac_0.01,5,2
791,s2_relative_volume__frac_0.01,8,1
792,s2_relative_volume__frac_0.01,11,8
793,s2_relative_volume__frac_0.01,9,8
794,s2_relative_volume__frac_0.01,5,3
795,s2_relative_volume__frac_0.01,6,4
796,s2_relative_volume__frac_0.01,12,6
797,s2_relative_volume__frac_0.01,12,6
798,s2_relative_volume__frac_0.01,44,11
799,s2_relative_volume__frac_0.01,10,3
800,s2_relative_volume__frac_0.01,6,3
801,s2_relative_volume__frac_0.01,13,3
802,s2_relative_volume__frac_0.01,7,2
803,s2_relative_volume__frac_0.01,30,2
804,s2_relative_volume__frac_0.01,9,4
805,s2_relative_volume__frac_0.01,11,5
806,s2_relative_volume__frac_0.01,15,7
807,s2_relative_volume__frac_0.01,6,2
808,s2_relative_volume__frac_0.01,31,7
809,s2_relative_volume__frac_0.01,10,5
810,s2_relative_volume__frac_0.01,17,5
811,s2_relative_volume__frac_0.01,6,2
812,s2_relative_volume__frac_0.01,13,3
813,s2_relative_volume__frac_0.01,9,2
814,s2_relative_volume__frac_0.01,8,5
815,s2_relative_volume__frac_0.01,14,5
816,s2_relative_volume__frac_0.01,6,4
817,s2_relative_volume__frac_0.01,14,7
818,s2_relative_volume__frac_0.01,10,5
819,s2_relative_volume__frac_0.01,9,3
820,s2_relative_volume__frac_0.01,13,4
821,s2_relative_volume__frac_0.01,6,4
822,s2_relative_volume__frac_0.01,20,5
823,s2_relative_volume__frac_0.01,9,6
824,s2_relative_volume__frac_0.01,7,3
825,s2_relative_volume__frac_0.01,8,4
826,s2_relative_volume__frac_0.01,8,3
827,s2_relative_volume__frac_0.01,10,3
828,s2_relative_volume__frac_0.01,12,5
829,s2_relative_volume__frac_0.01,13,3
830,s2_relative_volume__frac_0.01,9,2
831,s2_relative_volume__frac_0.01,8,3
832,s2_relative_volume__frac_0.01,4,2
833,s2_relative_volume__frac_0.01,6,4
834,s2_relative_volume__frac_0.01,7,3
835,s2_relative_volume__frac_0.01,9,8
836,s2_relative_volume__frac_0.01,10,2
837,s2_relative_volume__frac_0.01,5,2
838,s2_relative_volume__frac_0.01,9,7
839,s2_relative_volume__frac_0.01,5,3
840,s2_relative_volume__frac_0.01,13,5
841,s2_relative_volume__frac_0.01,6,5
842,s2_relative_volume__frac_0.01,13,4
843,s2_relative_volume__frac_0.01,18,5
844,s2_relative_volume__frac_0.01,12,5
845,s2_relative_volume__frac_0.01,10,4
846,s2_relative_volume__frac_0.01,5,4
847,s2_relative_volume__frac_0.01,11,3
848,s2_relative_volume__frac_0.01,4,2
849,s2_relative_volume__frac_0.01,13,5
850,s2_relative_volume__frac_0.01,19,8
851,s2_relative_volume__frac_0.01,4,2
852,s2_relative_volume__frac_0.01,38,11
853,s2_relative_volume__frac_0.01,6,3
854,s2_relative_volume__frac_0.01,4,4
855,s2_relative_volume__frac_0.01,28,9
856,s2_relative_volume__frac_0.01,25,3
857,s2_relative_volume__frac_0.01,10,4
858,s2_relative_volume__frac_0.01,10,2
859,s2_relative_volume__frac_0.01,7,3
860,s2_relative_volume__frac_0.01,11,4
861,s2_relative_volume__frac_0.01,14,5
862,s2_relative_volume__frac_0.01,5,3
863,s2_relative_volume__frac_0.01,11,5
864,s2_relative_volume__frac_0.01,8,3
865,s2_relative_volume__frac_0.01,8,4
866,s2_relative_volume__frac_0.01,9,3
867,s2_relative_volume__frac_0.01,21,5
868,s2_relative_volume__frac_0.01,14,7
869,s2_relative_volume__frac_0.01,16,4
870,s2_relative_volume__frac_0.01,9,4
871,s2_relative_volume__frac_0.01,10,4
872,s2_relative_volume__frac_0.01,16,8
873,s2_relative_volume__frac_0.01,14,3
874,s2_relative_volume__frac_0.01,7,4
875,s2_relative_volume__frac_0.01,9,5
876,s2_relative_volume__frac_0.01,10,5
877,s2_relative_volume__frac_0.01,10,4
878,s2_relative_volume__frac_0.01,9,5
879,s2_relative_volume__frac_0.01,3,3
880,s2_relative_volume__frac_0.01,9,5
881,s2_relative_volume__frac_0.01,14,6
882,s2_relative_volume__frac_0.01,13,3
883,s2_relative_volume__frac_0.01,9,6
884,s2_relative_volume__frac_0.01,4,3
885,s2_relative_volume__frac_0.01,13,8
886,s2_relative_volume__frac_0.01,11,6
887,s2_relative_volume__frac_0.01,19,9
888,s2_relative_volume__frac_0.01,7,3
889,s2_relative_volume__frac_0.01,8,5
890,s2_relative_volume__frac_0.01,2,2
891,s2_relative_volume__frac_0.01,8,6
892,s2_relative_volume__frac_0.01,32,5
893,s2_relative_volume__frac_0.01,7,4
894,s2_relative_volume__frac_0.01,12,8
895,s2_relative_volume__frac_0.01,17,4
896,s2_relative_volume__frac_0.01,12,9
897,s2_relative_volume__frac_0.01,9,7
898,s2_relative_volume__frac_0.01,5,2
899,s2_relative_volume__frac_0.01,11,5
900,s2_relative_volume__frac_0.01,5,2
901,s2_relative_volume__frac_0.01,17,5
902,s2_relative_volume__frac_0.01,10,4
903,s2_relative_volume__frac_0.01,8,2
904,s2_relative_volume__frac_0.01,16,4
905,s2_relative_volume__frac_0.01,12,4
906,s2_relative_volume__frac_0.01,12,5
907,s2_relative_volume__frac_0.01,9,4
908,s2_relative_volume__frac_0.01,10,3
909,s2_relative_volume__frac_0.01,10,3
910,s2_relative_volume__frac_0.01,11,4
911,s2_relative_volume__frac_0.01,6,4
912,s2_relative_volume__frac_0.01,10,3
913,s2_relative_volume__frac_0.01,10,6
914,s2_relative_volume__frac_0.01,10,4
915,s2_relative_volume__frac_0.01,9,2
916,s2_relative_volume__frac_0.01,7,3
917,s2_relative_volume__frac_0.01,11,3
918,s2_relative_volume__frac_0.01,15,3
919,s2_relative_volume__frac_0.01,6,2
920,s2_relative_volume__frac_0.01,19,6
921,s2_relative_volume__frac_0.01,10,2
922,s2_relative_volume__frac_0.01,20,8
923,s2_relative_volume__frac_0.01,7,2
924,s2_relative_volume__frac_0.01,9,4
925,s2_relative_volume__frac_0.01,19,5
926,s2_relative_volume__frac_0.01,9,5
927,s2_relative_volume__frac_0.01,13,8
928,s2_relative_volume__frac_0.01,8,3
929,s2_relative_volume__frac_0.01,17,7
930,s2_relative_volume__frac_0.01,10,4
931,s2_relative_volume__frac_0.01,23,10
932,s2_relative_volume__frac_0.01,4,2
933,s2_relative_volume__frac_0.01,17,6
934,s2_relative_volume__frac_0.01,5,3
935,s2_relative_volume__frac_0.01,6,4
936,s2_relative_volume__frac_0.01,13,3
937,s2_relative_volume__frac_0.01,9,3
938,s2_relative_volume__frac_0.01,15,4
939,s2_relative_volume__frac_0.01,13,5
940,s2_relative_volume__frac_0.01,15,6
941,s2_relative_volume__frac_0.01,6,5
942,s2_relative_volume__frac_0.01,11,7
943,s2_relative_volume__frac_0.01,17,10
944,s2_relative_volume__frac_0.01,20,4
945,s2_relative_volume__frac_0.01,8,4
946,s2_relative_volume__frac_0.01,9,2
947,s2_relative_volume__frac_0.01,12,4
948,s2_relative_volume__frac_0.01,10,5
949,s2_relative_volume__frac_0.01,5,3
950,s2_relative_volume__frac_0.01,17,7
951,s2_relative_volume__frac_0.01,10,5
952,s2_relative_volume__frac_0.01,6,2
953,s2_relative_volume__frac_0.01,10,5
954,s2_relative_volume__frac_0.01,6,4
955,s2_relative_volume__frac_0.01,7,2
956,s2_relative_volume__frac_0.01,9,3
957,s2_relative_volume__frac_0.01,18,4
958,s2_relative_volume__frac_0.01,13,4
