case_id,strategy,components_original,components_corrected
1000,s3c_closing__r_0.6mm,9,6
751,s3c_closing__r_0.6mm,9,7
752,s3c_closing__r_0.6mm,5,5
753,s3c_closing__r_0.6mm,5,5
754,s3c_closing__r_0.6mm,8,5
755,s3c_closing__r_0.6mm,10,7
756,s3c_closing__r_0.6mm,8,4
757,s3c_closing__r_0.6mm,7,3
758,s3c_closing__r_0.6mm,5,4
759,s3c_closing__r_0.6mm,9,4
760,s3c_closing__r_0.6mm,10,7
761,s3c_closing__r_0.6mm,7,4
762,s3c_closing__r_0.6mm,12,8
763,s3c_closing__r_0.6mm,11,8
764,s3c_closing__r_0.6mm,5,4
765,s3c_closing__r_0.6mm,3,3
766,s3c_closing__r_0.6mm,9,8
767,s3c_closing__r_0.6mm,14,10
768,s3c_closing__r_0.6mm,16,13
769,s3c_closing__r_0.6mm,7,7
770,s3c_closing__r_0.6mm,9,8
771,s3c_closing__r_0.6mm,8,6
772,s3c_closing__r_0.6mm,6,6
773,s3c_closing__r_0.6mm,4,4
774,s3c_closing__r_0.6mm,14,8
775,s3c_closing__r_0.6mm,14,9
776,s3c_closing__r_0.6mm,9,8
777,s3c_closing__r_0.6mm,9,8
778,s3c_closing__r_0.6mm,12,4
779,s3c_closing__r_0.6mm,11,8
780,s3c_closing__r_0.6mm,11,9
781,s3c_closing__r_0.6mm,7,3
782,s3c_closing__r_0.6mm,15,10
783,s3c_closing__r_0.6mm,6,5
784,s3c_closing__r_0.6mm,9,4
785,s3c_closing__r_0.6mm,3,3
786,s3c_closing__r_0.6mm,5,5
787,s3c_closing__r_0.6mm,6,5
788,s3c_closing__r_0.6mm,13,8
789,s3c_closing__r_0.6mm,8,6
790,s3c_closing__r_0.6mm,5,4
791,s3c_closing__r_0.6mm,8,7
792,s3c_closing__r_0.6mm,11,11
793,s3c_closing__r_0.6mm,9,9
794,s3c_closing__r_0.6mm,5,3
795,s3c_closing__r_0.6mm,6,4
796,s3c_closing__r_0.6mm,12,10
797,s3c_closing__r_0.6mm,12,7
798,s3c_closing__r_0.6mm,44,24
799,s3c_closing__r_0.6mm,10,5
800,s3c_closing__r_0.6mm,6,5
801,s3c_closing__r_0.6mm,13,5
802,s3c_closing__r_0.6mm,7,5
803,s3c_closing__r_0.6mm,30,16
804,s3c_closing__r_0.6mm,9,8
805,s3c_closing__r_0.6mm,11,5
806,s3c_closing__r_0.6mm,15,8
807,s3c_closing__r_0.6mm,6,4
808,s3c_closing__r_0.6mm,31,15
809,s3c_closing__r_0.6mm,10,7
810,s3c_closing__r_0.6mm,17,9
811,s3c_closing__r_0.6mm,6,4
812,s3c_closing__r_0.6mm,13,10
813,s3c_closing__r_0.6mm,9,2
814,s3c_closing__r_0.6mm,8,5
815,s3c_closing__r_0.6mm,14,10
816,s3c_closing__r_0.6mm,6,4
817,s3c_closing__r_0.6mm,14,9
818,s3c_closing__r_0.6mm,10,7
819,s3c_closing__r_0.6mm,9,5
820,s3c_closing__r_0.6mm,13,7
821,s3c_closing__r_0.6mm,6,4
822,s3c_closing__r_0.6mm,20,11
823,s3c_closing__r_0.6mm,9,8
824,s3c_closing__r_0.6mm,7,3
825,s3c_closing__r_0.6mm,8,5
826,s3c_closing__r_0.6mm,8,8
827,s3c_closing__r_0.6mm,10,7
828,s3c_closing__r_0.6mm,12,8
829,s3c_closing__r_0.6mm,13,7
830,s3c_closing__r_0.6mm,9,4
831,s3c_closing__r_0.6mm,8,7
832,s3c_closing__r_0.6mm,4,3
833,s3c_closing__r_0.6mm,6,5
834,s3c_closing__r_0.6mm,7,6
835,s3c_closing__r_0.6mm,9,8
836,s3c_closing__r_0.6mm,10,6
837,s3c_closing__r_0.6mm,5,4
838,s3c_closing__r_0.6mm,9,8
839,s3c_closing__r_0.6mm,5,3
840,s3c_closing__r_0.6mm,13,6
841,s3c_closing__r_0.6mm,6,5
842,s3c_closing__r_0.6mm,13,9
843,s3c_closing__r_0.6mm,18,7
844,s3c_closing__r_0.6mm,12,8
845,s3c_closing__r_0.6mm,10,6
846,s3c_closing__r_0.6mm,5,4
847,s3c_closing__r_0.6mm,11,5
848,s3c_closing__r_0.6mm,4,3
849,s3c_closing__r_0.6mm,13,12
850,s3c_closing__r_0.6mm,19,12
851,s3c_closing__r_0.6mm,4,2
852,s3c_closing__r_0.6mm,38,20
853,s3c_closing__r_0.6mm,6,4
854,s3c_closing__r_0.6mm,4,3
855,s3c_closing__r_0.6mm,28,17
856,s3c_closing__r_0.6mm,25,12
857,s3c_closing__r_0.6mm,10,7
858,s3c_closing__r_0.6mm,10,6
859,s3c_closing__r_0.6mm,7,6
860,s3c_closing__r_0.6mm,11,6
861,s3c_closing__r_0.6mm,14,10
862,s3c_closing__r_0.6mm,5,5
863,s3c_closing__r_0.6mm,11,8
864,s3c_closing__r_0.6mm,8,7
865,s3c_closing__r_0.6mm,8,6
866,s3c_closing__r_0.6mm,9,6
867,s3c_closing__r_0.6mm,21,17
868,s3c_closing__r_0.6mm,14,10
869,s3c_closing__r_0.6mm,16,10
870,s3c_closing__r_0.6mm,9,7
871,s3c_closing__r_0.6mm,10,8
872,s3c_closing__r_0.6mm,16,11
873,s3c_closing__r_0.6mm,14,7
874,s3c_closing__r_0.6mm,7,6
875,s3c_closing__r_0.6mm,9,8
876,s3c_closing__r_0.6mm,10,6
877,s3c_closing__r_0.6mm,10,5
878,s3c_closing__r_0.6mm,9,9
879,s3c_closing__r_0.6mm,3,3
880,s3c_closing__r_0.6mm,9,7
881,s3c_closing__r_0.6mm,14,13
882,s3c_closing__r_0.6mm,13,7
