variant_id,strategy,kind,primary,param_min_volume_mm3,param_min_fraction_of_largest,param_max_gap_mm,param_prefilter_mm3,param_bridge_radius_mm,param_min_component_mm3_to_bridge,param_max_bridges_per_case,param_radius_mm
s0_original,s0_original,identity,True,,,,,,,,
s1_absolute_volume__mm3_0.216,s1_absolute_volume,absolute_volume_filter,False,0.216,,,,,,,
s1_absolute_volume__mm3_1,s1_absolute_volume,absolute_volume_filter,False,1.0,,,,,,,
s1_absolute_volume__mm3_2,s1_absolute_volume,absolute_volume_filter,False,2.0,,,,,,,
s1_absolute_volume__mm3_5,s1_absolute_volume,absolute_volume_filter,True,5.0,,,,,,,
s1_absolute_volume__mm3_10,s1_absolute_volume,absolute_volume_filter,False,10.0,,,,,,,
s1_absolute_volume__mm3_27,s1_absolute_volume,absolute_volume_filter,False,27.0,,,,,,,
s1_absolute_volume__mm3_50,s1_absolute_volume,absolute_volume_filter,False,50.0,,,,,,,
s2_relative_volume__frac_0.001,s2_relative_volume,relative_volume_filter,False,,0.001,,,,,,
s2_relative_volume__frac_0.005,s2_relative_volume,relative_volume_filter,False,,0.005,,,,,,
s2_relative_volume__frac_0.01,s2_relative_volume,relative_volume_filter,True,,0.01,,,,,,
s2_relative_volume__frac_0.05,s2_relative_volume,relative_volume_filter,False,,0.05,,,,,,
s3_gap_bridge__gap_0.6mm,s3_gap_bridge,gap_bridge,False,,,0.6,5.0,0.3,5.0,50.0,
s3_gap_bridge__gap_1.2mm,s3_gap_bridge,gap_bridge,True,,,1.2,5.0,0.3,5.0,50.0,
s3_gap_bridge__gap_1.8mm,s3_gap_bridge,gap_bridge,False,,,1.8,5.0,0.3,5.0,50.0,
s3_gap_bridge__gap_2.4mm,s3_gap_bridge,gap_bridge,False,,,2.4,5.0,0.3,5.0,50.0,
s3c_closing__r_0.6mm,s3c_closing,morphological_closing,True,,,,5.0,,,,0.6
s3c_closing__r_1.2mm,s3c_closing,morphological_closing,False,,,,5.0,,,,1.2
