strategy,metric,n_pairs,original_mean,original_median,original_sd,corrected_mean,corrected_median,corrected_sd,mean_difference,median_difference,hodges_lehmann_difference,n_improved,n_worsened,n_unchanged,normality_p,test,statistic,p_value,effect_size_name,effect_size,ci_statistic,ci_low,ci_high,ci_level,stratum_column,stratum,family,quantile_cuts,stratification_rule,stratification_type,p_adjusted_bh,significant_fdr,fdr_family,fdr_family_size,fdr_alpha,original_pass,corrected_pass,original_rate,corrected_rate,discordant_gained,discordant_lost,odds_ratio
s1_absolute_volume__mm3_5,Connected components,114,6.807017543859649,7.0,1.913515936340103,5.157894736842105,5.0,1.7877604884443696,-1.6491228070175439,-1.0,-1.5,91.0,0.0,23.0,1.1124955939759863e-08,wilcoxon_signed_rank,0.0,4.162620706573617e-17,rank_biserial,-1.0,median_of_differences,-2.0,-1.0,0.95,stratum_quantile,q1_least_fragmented,s1_absolute_volume__mm3_5|stratum_quantile|Connected components,"[9.0, 12.0]","tertiles of original component count at q=[0.3333, 0.6667]",prespecified_quantile,1.2487862119720851e-16,True,s1_absolute_volume__mm3_5|stratum_quantile|Connected components,3,0.05,,,,,,,
s1_absolute_volume__mm3_5,Connected components,60,10.9,11.0,0.8772066606129533,7.166666666666667,7.0,1.6381745386890372,-3.7333333333333334,-3.0,-3.5,59.0,0.0,1.0,0.003552396025854409,wilcoxon_signed_rank,0.0,1.7646222610874222e-11,rank_biserial,-1.0,median_of_differences,-4.0,-3.0,0.95,stratum_quantile,q2_middle,s1_absolute_volume__mm3_5|stratum_quantile|Connected components,"[9.0, 12.0]","tertiles of original component count at q=[0.3333, 0.6667]",prespecified_quantile,1.7646222610874222e-11,True,s1_absolute_volume__mm3_5|stratum_quantile|Connected components,3,0.05,,,,,,,
s1_absolute_volume__mm3_5,Connected components,76,17.67105263157895,16.0,6.147927906527504,10.802631578947368,10.0,3.2782911680410787,-6.868421052631579,-6.0,-6.0,76.0,0.0,0.0,1.4893344464609516e-07,wilcoxon_signed_rank,0.0,3.201049554993068e-14,rank_biserial,-1.0,median_of_differences,-6.0,-5.0,0.95,stratum_quantile,q3_most_fragmented,s1_absolute_volume__mm3_5|stratum_quantile|Connected components,"[9.0, 12.0]","tertiles of original component count at q=[0.3333, 0.6667]",prespecified_quantile,4.801574332489602e-14,True,s1_absolute_volume__mm3_5|stratum_quantile|Connected components,3,0.05,,,,,,,
s1_absolute_volume__mm3_5,clDice,114,0.890938956399567,0.8951108967475137,0.04400603647629592,0.8920578033173588,0.8982903628072945,0.04409213041507839,0.0011188469177918347,0.0005805074883243333,0.0008506728005935327,11.0,74.0,29.0,5.6754790409357284e-09,wilcoxon_signed_rank,419.0,6.755400510408976e-10,rank_biserial,0.7707250341997264,median_of_differences,0.00047215047365423146,0.0009363214348436788,0.95,stratum_quantile,q1_least_fragmented,s1_absolute_volume__mm3_5|stratum_quantile|clDice,"[9.0, 12.0]","tertiles of original component count at q=[0.3333, 0.6667]",prespecified_quantile,1.0133100765613463e-09,True,s1_absolute_volume__mm3_5|stratum_quantile|clDice,3,0.05,,,,,,,
s1_absolute_volume__mm3_5,clDice,60,0.8650953922774158,0.8721460818589555,0.046316593871573324,0.8676281661572504,0.8729925300611086,0.04657644645836722,0.0025327738798345007,0.0018223814361326696,0.002026720685795902,7.0,52.0,1.0,4.753632373829782e-07,wilcoxon_signed_rank,114.0,5.90276399585723e-09,rank_biserial,0.8711864406779661,median_of_differences,0.0013100519168890434,0.002343387644593853,0.95,stratum_quantile,q2_middle,s1_absolute_volume__mm3_5|stratum_quantile|clDice,"[9.0, 12.0]","tertiles of original component count at q=[0.3333, 0.6667]",prespecified_quantile,5.90276399585723e-09,True,s1_absolute_volume__mm3_5|stratum_quantile|clDice,3,0.05,,,,,,,
s1_absolute_volume__mm3_5,clDice,76,0.8408938920346568,0.8513607062659682,0.056822388873835464,0.844761998370653,0.8545515549874074,0.05663956229374404,0.0038681063359962335,0.0030692953464762085,0.003599866888872316,3.0,73.0,0.0,0.0011230573931470846,wilcoxon_signed_rank,44.0,2.0321576426989276e-13,rank_biserial,0.9699248120300752,median_of_differences,0.002593089058496756,0.004157264265890137,0.95,stratum_quantile,q3_most_fragmented,s1_absolute_volume__mm3_5|stratum_quantile|clDice,"[9.0, 12.0]","tertiles of original component count at q=[0.3333, 0.6667]",prespecified_quantile,6.096472928096783e-13,True,s1_absolute_volume__mm3_5|stratum_quantile|clDice,3,0.05,,,,,,,
s1_absolute_volume__mm3_5,Dice,114,0.8025058377321189,0.8053056225784532,0.039041166394424474,0.802589131084401,0.8048729023839296,0.039045080419593876,8.329335228219257e-05,2.433302404802884e-05,7.775820425814928e-05,17.0,74.0,23.0,8.44852346358817e-10,wilcoxon_signed_rank,745.0,9.540923371999221e-08,rank_biserial,0.6440516005733397,median_of_differences,1.2626504291235463e-05,0.00010052516330660843,0.95,stratum_quantile,q1_least_fragmented,s1_absolute_volume__mm3_5|stratum_quantile|Dice,"[9.0, 12.0]","tertiles of original component count at q=[0.3333, 0.6667]",prespecified_quantile,1.4311385057998832e-07,True,s1_absolute_volume__mm3_5|stratum_quantile|Dice,3,0.05,,,,,,,
s1_absolute_volume__mm3_5,Dice,60,0.7828687315312227,0.798208771338633,0.046561056339133176,0.7830516395187632,0.7984399536326506,0.04656722083162686,0.00018290798754041864,0.00011224764935519049,0.00015900935427151652,11.0,48.0,1.0,0.009078212035292061,wilcoxon_signed_rank,219.0,4.983370260164307e-07,rank_biserial,0.752542372881356,median_of_differences,7.915119303225637e-05,0.0002010944203404419,0.95,stratum_quantile,q2_middle,s1_absolute_volume__mm3_5|stratum_quantile|Dice,"[9.0, 12.0]","tertiles of original component count at q=[0.3333, 0.6667]",prespecified_quantile,4.983370260164307e-07,True,s1_absolute_volume__mm3_5|stratum_quantile|Dice,3,0.05,,,,,,,
s1_absolute_volume__mm3_5,Dice,76,0.76948385231857,0.7740530467315896,0.04871005464995994,0.7698277637240996,0.7743367811662288,0.04870528302535674,0.0003439114055295684,0.00026580275991794355,0.00033072389472629804,10.0,66.0,0.0,0.4328041373141849,paired_t,8.892278903621955,2.386189549232803e-13,cohens_dz,1.0200143452280728,mean_of_differences,0.000268699608182816,0.00042122943098919275,0.95,stratum_quantile,q3_most_fragmented,s1_absolute_volume__mm3_5|stratum_quantile|Dice,"[9.0, 12.0]","tertiles of original component count at q=[0.3333, 0.6667]",prespecified_quantile,7.158568647698409e-13,True,s1_absolute_volume__mm3_5|stratum_quantile|Dice,3,0.05,,,,,,,
s1_absolute_volume__mm3_5,HD95 (mm),114,5.687312974912621,4.326461667265145,4.52644710628629,5.702849812992346,4.368066107139657,4.391968430067061,0.015536838079723642,0.0,0.0,30.0,23.0,61.0,3.056252158210035e-21,wilcoxon_signed_rank,687.0,0.8008062575570309,rank_biserial,0.039832285115303984,median_of_differences,0.0,0.0,0.95,stratum_quantile,q1_least_fragmented,s1_absolute_volume__mm3_5|stratum_quantile|HD95 (mm),"[9.0, 12.0]","tertiles of original component count at q=[0.3333, 0.6667]",prespecified_quantile,0.8008062575570309,False,s1_absolute_volume__mm3_5|stratum_quantile|HD95 (mm),3,0.05,,,,,,,
