case_id,variant_id,stl,stl_bytes,slice_seconds,return_code,toolpath_success,gcode_generated,warning_count,warnings,stderr_tail,gcode_bytes,layer_count,empty_layer_count,estimated_print_time_text,estimated_print_time_min,filament_used_g,filament_used_mm,profile_name
1000,s0_original,meshes/s0_original/case_outputs/1000__s0_original/segmentation_repaired.stl,3170384,8.68,0,True,True,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,,5247155.0,435.0,0.0,1h 47m 12s,107.2,8.91,2987.92,P1_no_supports
751,s0_original,meshes/s0_original/case_outputs/751__s0_original/segmentation_repaired.stl,3396884,9.08,0,True,True,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,,5566516.0,489.0,0.0,1h 58m 48s,118.8,9.07,3042.53,P1_no_supports
752,s0_original,meshes/s0_original/case_outputs/752__s0_original/segmentation_repaired.stl,3933384,10.13,0,True,True,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,,6621214.0,516.0,0.0,2h 16m 2s,136.03333333333333,10.64,3568.74,P1_no_supports
753,s0_original,meshes/s0_original/case_outputs/753__s0_original/segmentation_repaired.stl,2073384,5.99,0,True,True,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,,3447266.0,393.0,0.0,1h 13m 57s,73.95,5.7,1911.22,P1_no_supports
754,s0_original,meshes/s0_original/case_outputs/754__s0_original/segmentation_repaired.stl,2763684,7.91,0,True,True,7,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Low bed adhesion; Repaired; WARNING,,4862243.0,564.0,0.0,1h 48m 32s,108.53333333333332,8.15,2733.22,P1_no_supports
755,s0_original,meshes/s0_original/case_outputs/755__s0_original/segmentation_repaired.stl,2893784,7.69,0,True,True,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,,4789959.0,453.0,0.0,1h 37m 15s,97.25,7.88,2641.73,P1_no_supports
756,s0_original,meshes/s0_original/case_outputs/756__s0_original/segmentation_repaired.stl,2155984,5.72,0,True,True,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,,3593607.0,402.0,0.0,1h 15m 37s,75.61666666666666,5.72,1917.06,P1_no_supports
757,s0_original,meshes/s0_original/case_outputs/757__s0_original/segmentation_repaired.stl,3321884,8.29,0,True,True,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,,5616089.0,489.0,0.0,2h 2m 35s,122.58333333333331,9.7,3250.91,P1_no_supports
758,s0_original,meshes/s0_original/case_outputs/758__s0_original/segmentation_repaired.stl,2638284,7.35,0,True,True,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,,4417926.0,579.0,0.0,1h 38m 59s,98.98333333333332,7.08,2374.83,P1_no_supports
759,s0_original,meshes/s0_original/case_outputs/759__s0_original/segmentation_repaired.stl,1920784,5.41,0,True,True,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,,3080902.0,414.0,0.0,1h 6m 4s,66.06666666666666,5.02,1683.48,P1_no_supports
760,s0_original,meshes/s0_original/case_outputs/760__s0_original/segmentation_repaired.stl,3482884,8.4,0,True,True,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,,5793973.0,465.0,0.0,2h 3m 17s,123.28333333333332,9.94,3331.87,P1_no_supports
761,s0_original,meshes/s0_original/case_outputs/761__s0_original/segmentation_repaired.stl,3747484,9.29,0,True,True,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,,6234099.0,420.0,0.0,2h 1m 21s,121.35,10.44,3498.69,P1_no_supports
762,s0_original,meshes/s0_original/case_outputs/762__s0_original/segmentation_repaired.stl,3844584,9.55,0,True,True,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,,6384812.0,515.0,0.0,2h 12m 58s,132.96666666666667,10.62,3559.99,P1_no_supports
763,s0_original,meshes/s0_original/case_outputs/763__s0_original/segmentation_repaired.stl,3858484,10.48,0,True,True,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,,6615365.0,465.0,0.0,2h 15m 0s,135.0,11.19,3753.26,P1_no_supports
