case_id,variant_id,stl,stl_bytes,slice_seconds,return_code,toolpath_success,gcode_generated,warning_count,warnings,stderr_tail,gcode_bytes,layer_count,empty_layer_count,estimated_print_time_text,estimated_print_time_min,filament_used_g,filament_used_mm,profile_name
1000,s0_original,meshes/s0_original/case_outputs/1000__s0_original/segmentation_repaired.stl,3170384,12.07,0,True,True,0,,,10022095,482,0,5h 33m 17s,333.28333333333336,56.36,18896.99,P2_supports_brim
751,s0_original,meshes/s0_original/case_outputs/751__s0_original/segmentation_repaired.stl,3396884,12.67,0,True,True,0,,,11228644,562,0,6h 44m 4s,404.06666666666666,67.95,22782.8,P2_supports_brim
752,s0_original,meshes/s0_original/case_outputs/752__s0_original/segmentation_repaired.stl,3933384,14.0,0,True,True,0,,,12035969,565,0,6h 31m 41s,391.68333333333334,59.17,19838.55,P2_supports_brim
753,s0_original,meshes/s0_original/case_outputs/753__s0_original/segmentation_repaired.stl,2073384,7.41,0,True,True,0,,,6391675,485,0,3h 39m 39s,219.65,38.5,12908.14,P2_supports_brim
754,s0_original,meshes/s0_original/case_outputs/754__s0_original/segmentation_repaired.stl,2763684,10.24,0,True,True,0,,,8541567,706,0,4h 45m 20s,285.3333333333333,44.32,14859.31,P2_supports_brim
755,s0_original,meshes/s0_original/case_outputs/755__s0_original/segmentation_repaired.stl,2893784,10.12,0,True,True,0,,,9055758,484,0,5h 0m 11s,300.18333333333334,49.46,16582.15,P2_supports_brim
756,s0_original,meshes/s0_original/case_outputs/756__s0_original/segmentation_repaired.stl,2155984,7.76,0,True,True,0,,,6923683,464,0,3h 55m 26s,235.43333333333334,39.24,13157.46,P2_supports_brim
757,s0_original,meshes/s0_original/case_outputs/757__s0_original/segmentation_repaired.stl,3321884,12.46,0,True,True,0,,,11016531,555,0,6h 29m 15s,389.25,62.66,21009.65,P2_supports_brim
758,s0_original,meshes/s0_original/case_outputs/758__s0_original/segmentation_repaired.stl,2638284,10.35,0,True,True,0,,,8769564,672,0,5h 3m 39s,303.65,47.44,15906.67,P2_supports_brim
759,s0_original,meshes/s0_original/case_outputs/759__s0_original/segmentation_repaired.stl,1920784,7.72,0,True,True,0,,,5827687,534,0,3h 11m 34s,191.56666666666666,33.08,11090.28,P2_supports_brim
