case_id,variant_id,stl,stl_bytes,slice_seconds,return_code,toolpath_success,gcode_generated,warning_count,warnings,stderr_tail,gcode_bytes,layer_count,empty_layer_count,estimated_print_time_text,estimated_print_time_min,filament_used_g,filament_used_mm,profile_name
779,s0_original,meshes/s0_original/case_outputs/779__s0_original/segmentation_repaired.stl,3554984,8.02,1,False,False,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,There is an object with no extrusions in the first layer. | Object name: segmentation_repaired.stl,,,,,,,,P1_no_supports
784,s0_original,meshes/s0_original/case_outputs/784__s0_original/segmentation_repaired.stl,2645284,6.31,1,False,False,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,There is an object with no extrusions in the first layer. | Object name: segmentation_repaired.stl,,,,,,,,P1_no_supports
785,s0_original,meshes/s0_original/case_outputs/785__s0_original/segmentation_repaired.stl,1904884,4.86,1,False,False,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,There is an object with no extrusions in the first layer. | Object name: segmentation_repaired.stl,,,,,,,,P1_no_supports
787,s0_original,meshes/s0_original/case_outputs/787__s0_original/segmentation_repaired.stl,2584284,5.88,1,False,False,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,There is an object with no extrusions in the first layer. | Object name: segmentation_repaired.stl,,,,,,,,P1_no_supports
788,s0_original,meshes/s0_original/case_outputs/788__s0_original/segmentation_repaired.stl,3893084,8.83,1,False,False,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,There is an object with no extrusions in the first layer. | Object name: segmentation_repaired.stl,,,,,,,,P1_no_supports
795,s0_original,meshes/s0_original/case_outputs/795__s0_original/segmentation_repaired.stl,2573084,5.75,1,False,False,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,There is an object with no extrusions in the first layer. | Object name: segmentation_repaired.stl,,,,,,,,P1_no_supports
799,s0_original,meshes/s0_original/case_outputs/799__s0_original/segmentation_repaired.stl,3670984,8.75,1,False,False,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,There is an object with no extrusions in the first layer. | Object name: segmentation_repaired.stl,,,,,,,,P1_no_supports
806,s0_original,meshes/s0_original/case_outputs/806__s0_original/segmentation_repaired.stl,3330084,8.41,1,False,False,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,There is an object with no extrusions in the first layer. | Object name: segmentation_repaired.stl,,,,,,,,P1_no_supports
821,s0_original,meshes/s0_original/case_outputs/821__s0_original/segmentation_repaired.stl,2295884,5.09,1,False,False,6,Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Repaired; WARNING,There is an object with no extrusions in the first layer. | Object name: segmentation_repaired.stl,,,,,,,,P1_no_supports
838,s0_original,meshes/s0_original/case_outputs/838__s0_original/segmentation_repaired.stl,3064184,7.17,1,False,False,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,There is an object with no extrusions in the first layer. | Object name: segmentation_repaired.stl,,,,,,,,P1_no_supports
846,s0_original,meshes/s0_original/case_outputs/846__s0_original/segmentation_repaired.stl,2889984,6.3,1,False,False,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,There is an object with no extrusions in the first layer. | Object name: segmentation_repaired.stl,,,,,,,,P1_no_supports
852,s0_original,meshes/s0_original/case_outputs/852__s0_original/segmentation_repaired.stl,4031084,8.29,1,False,False,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,There is an object with no extrusions in the first layer. | Object name: segmentation_repaired.stl,,,,,,,,P1_no_supports
868,s0_original,meshes/s0_original/case_outputs/868__s0_original/segmentation_repaired.stl,1718384,4.2,1,False,False,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,There is an object with no extrusions in the first layer. | Object name: segmentation_repaired.stl,,,,,,,,P1_no_supports
871,s0_original,meshes/s0_original/case_outputs/871__s0_original/segmentation_repaired.stl,3028384,7.27,1,False,False,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,There is an object with no extrusions in the first layer. | Object name: segmentation_repaired.stl,,,,,,,,P1_no_supports
913,s0_original,meshes/s0_original/case_outputs/913__s0_original/segmentation_repaired.stl,3498684,7.64,1,False,False,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,There is an object with no extrusions in the first layer. | Object name: segmentation_repaired.stl,,,,,,,,P1_no_supports
914,s0_original,meshes/s0_original/case_outputs/914__s0_original/segmentation_repaired.stl,2224684,5.67,1,False,False,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,There is an object with no extrusions in the first layer. | Object name: segmentation_repaired.stl,,,,,,,,P1_no_supports
917,s0_original,meshes/s0_original/case_outputs/917__s0_original/segmentation_repaired.stl,3797584,8.52,1,False,False,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,There is an object with no extrusions in the first layer. | Object name: segmentation_repaired.stl,,,,,,,,P1_no_supports
919,s0_original,meshes/s0_original/case_outputs/919__s0_original/segmentation_repaired.stl,2996684,6.6,1,False,False,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,There is an object with no extrusions in the first layer. | Object name: segmentation_repaired.stl,,,,,,,,P1_no_supports
928,s0_original,meshes/s0_original/case_outputs/928__s0_original/segmentation_repaired.stl,2932884,6.93,1,False,False,8,Consider enabling brim; Consider enabling supports; Detected print stability issues; Floating object part; Loose extrusions; Low bed adhesion; Repaired; WARNING,There is an object with no extrusions in the first layer. | Object name: segmentation_repaired.stl,,,,,,,,P1_no_supports
